Question,Answer
2021 apple highlights,"[HumanMessage(content='2021 apple highlights', additional_kwargs={}, example=False), AIMessage(content='In 2021, Apple experienced growth in various segments:\n- Mac net sales increased due to higher sales of MacBook Air, MacBook Pro, and iMac.\n- iPad net sales increased due to higher sales of iPad Air and iPad Pro.\n- Wearables, Home, and Accessories net sales increased due to higher sales of accessories and Apple Watch.\n- Services net sales increased due to higher sales from advertising, the App Store, and cloud services.', additional_kwargs={}, example=False)]"
apple 2021 report  highlights,"[HumanMessage(content='apple 2021 report  highlights', additional_kwargs={}, example=False), AIMessage(content='In 2021, Apple reported significant growth in net sales across its product categories. The iPhone, Mac, iPad, Wearables, Home and Accessories, and Services all saw increases in net sales compared to the previous year. The company also announced an increase in its share repurchase program authorization and raised its quarterly dividend. Additionally, Apple announced new product offerings throughout the year, including updated MacBook Pro models, AirPods, iPhone SE with 5G technology, Mac Studio, Studio Display, and updated iPad Air with 5G technology.', additional_kwargs={}, example=False)]"
apple 2020 report  highlights,"[HumanMessage(content='apple 2020 report  highlights', additional_kwargs={}, example=False), AIMessage(content=""I'm sorry, but I don't have specific information on Apple's 2020 report highlights."", additional_kwargs={}, example=False)]"
apple 2022 report  highlights,"[HumanMessage(content='apple 2022 report  highlights', additional_kwargs={}, example=False), AIMessage(content=""In 2022, Apple reported an 8% increase in total net sales compared to 2021, with total net sales amounting to $383.3 billion. The company's net income for 2023 was $97.0 billion. The increase in net sales was primarily driven by higher sales of iPhone, Services, and Mac. However, there was a 3% decrease in total net sales in 2023 compared to 2022, with the decrease attributed to lower sales of Mac and iPhone, partially offset by higher sales of Services. The weakness of foreign currencies relative to the U.S. dollar had an unfavorable impact on all products and services net sales. Apple made significant product announcements throughout the fiscal year, such as updated MacBook Pro models, AirPods, iPhone SE, Mac Studio, Studio Display, and iPad Air, among others. Additionally, the company introduced new operating systems and services like iOS 16, macOS Ventura, iPadOS 16, watchOS 9, and Apple Pay Later."", additional_kwargs={}, example=False)]"
Apple 2021 annual reports highlights,"[HumanMessage(content='Apple 2021 annual reports highlights', additional_kwargs={}, example=False), AIMessage(content=""1. Total net sales for 2021 were $365.8 billion, a 33% increase compared to 2020.\n2. Net income for 2021 was not specified in the provided context.\n3. iPhone net sales increased by 39% in 2021 compared to 2020.\n4. Mac net sales increased by 23% in 2021 compared to 2020.\n5. iPad net sales increased by 34% in 2021 compared to 2020.\n6. Wearables, Home and Accessories net sales increased by 25% in 2021 compared to 2020.\n7. Services net sales increased by 27% in 2021 compared to 2020.\n8. The Company's total net sales for 2021 were $365.8 billion, a 33% increase compared to 2020.\n9. Apple announced an increase in its share repurchase program authorization to $315 billion in April 2021.\n10. Apple repurchased $85.5 billion of its common stock and paid dividends and dividend equivalents of $14.5 billion in 2021.\n\nPlease note that the exact net income for 2021 and other specific details may not be provided in the context."", additional_kwargs={}, example=False)]"
Apple 2022 annual reports highlights,"[HumanMessage(content='Apple 2022 annual reports highlights', additional_kwargs={}, example=False), AIMessage(content=""In fiscal year 2022, Apple's total net sales increased by 8% or $28.5 billion compared to the previous year. This growth was primarily driven by higher net sales of iPhone, Services, and Mac. The weakness in foreign currencies relative to the U.S. dollar had an unfavorable impact on all Products and Services net sales during the year. Significant product announcements in 2022 included updated MacBook Pro models, AirPods, iPhone SE with 5G, Mac Studio, Studio Display, and updated iPad Air with 5G technology. These are some of the highlights from Apple's 2022 annual report."", additional_kwargs={}, example=False)]"
apple 2023 compared to apple 2022,"[HumanMessage(content='apple 2023 compared to apple 2022', additional_kwargs={}, example=False), AIMessage(content=""In 2023, Apple's total net sales were $383.3 billion, which decreased by 3% compared to 2022, where the total net sales were $394.3 billion. The decrease in net sales in 2023 was primarily due to lower net sales of Mac and iPhone, partially offset by higher net sales of Services."", additional_kwargs={}, example=False)]"
apple 2023 compared to apple 2021,"[HumanMessage(content='apple 2023 compared to apple 2021', additional_kwargs={}, example=False), AIMessage(content=""In 2023, Apple's total net sales were $383.3 billion, a decrease of 3% compared to 2022. In contrast, in 2021, Apple's total net sales were $365.8 billion, which was an increase of 33% compared to 2020. The net sales increase in 2021 was driven by higher sales in various product categories like iPhone, Mac, iPad, Wearables, Home, and Accessories, as well as Services."", additional_kwargs={}, example=False)]"
apple 2022 highlights,"[HumanMessage(content='apple 2022 highlights', additional_kwargs={}, example=False), AIMessage(content='In 2022, some of Apple\'s significant announcements included updated MacBook Pro models, new AirPods, an updated iPhone SE with 5G, the Mac Studio, Studio Display, and updated iPad Air with 5G in the second quarter. In the third quarter, there were updates to MacBook Air and MacBook Pro 13"", new operating system updates, and the introduction of Apple Pay Later. In the fourth quarter, Apple released the iPhone 14 series, second-generation AirPods Pro, and the Apple Watch Series 8, among other products. Additionally, Apple increased its Program authorization and raised its quarterly dividend during the year.', additional_kwargs={}, example=False)]"
apple 2021 highlights,"[HumanMessage(content='apple 2021 highlights', additional_kwargs={}, example=False), AIMessage(content='In 2021, Apple saw an increase in net sales across various product categories such as Mac, iPad, Wearables, Home and Accessories, and Services. The company experienced growth in iPhone sales in the fourth quarter of 2021 and had significant announcements throughout the year, including the release of updated MacBook Pro models, new AirPods, and more. Overall, Apple had a successful year in 2021 with positive performance in its different segments.', additional_kwargs={}, example=False)]"
2022 apple highlights,"[HumanMessage(content='2022 apple highlights', additional_kwargs={}, example=False), AIMessage(content='In 2022, some of the significant highlights from Apple included the release of updated MacBook Pro models, the third generation of AirPods, the updated iPhone SE with 5G technology, the Mac Studio, the Studio Display, the updated iPad Air with 5G technology, the updated MacBook Air and MacBook Pro 13"" with new chips, and the introduction of iOS 16, macOS Ventura, iPadOS 16, and watchOS 9. Apple also launched Apple Pay Later during that year. Additionally, the Company increased its Program authorization and raised its quarterly dividend.', additional_kwargs={}, example=False)]"
2023 apple highlights,"[HumanMessage(content='2022 apple highlights', additional_kwargs={}, example=False), AIMessage(content='In 2022, some of the significant highlights from Apple included the release of updated MacBook Pro models, the third generation of AirPods, the updated iPhone SE with 5G technology, the Mac Studio, the Studio Display, the updated iPad Air with 5G technology, the updated MacBook Air and MacBook Pro 13"" with new chips, and the introduction of iOS 16, macOS Ventura, iPadOS 16, and watchOS 9. Apple also launched Apple Pay Later during that year. Additionally, the Company increased its Program authorization and raised its quarterly dividend.', additional_kwargs={}, example=False), HumanMessage(content='2023 apple highlights', additional_kwargs={}, example=False), AIMessage(content=""In 2023, Apple's total net sales were $383.3 billion, with a net income of $97.0 billion. The total net sales decreased by 3% compared to 2022. Some significant product and service announcements in 2023 included the iPad and iPad Pro in the first quarter, MacBook Pro 14”, MacBook Pro 16”, and Mac mini in the second quarter, MacBook Air 15”, Mac Studio, and Mac Pro in the third quarter, and iPhone 15, iPhone 15 Plus, iPhone 15 Pro, and iPhone 15 Pro Max in the fourth quarter. The Company also announced a new share repurchase program of up to $90 billion and raised its quarterly dividend."", additional_kwargs={}, example=False)]"
